id,split,prediction,evidence_score,support_weight,contradict_weight,neutral_weight,support_n,contradict_n,neutral_n,status,hard_violations,soft_violations,logic_conf,rationale
2,test,1,3.1489722473515944,3.1489722473515944,0.0,0.0,4,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
3,test,1,3.404742989344908,3.404742989344908,0.0,0.0,4,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
7,test,1,5.033880284615658,5.033880284615658,0.0,0.0,6,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
15,test,1,1.6389226226073148,1.6389226226073148,0.0,0.0,2,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
16,test,1,3.3309949592163837,3.3309949592163837,0.0,0.0,4,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
21,test,1,1.5608601735386656,1.5608601735386656,0.0,0.0,2,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
22,test,1,3.927228235188088,3.927228235188088,0.0,0.5,5,0,1,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
24,test,1,3.4612473959005063,3.4612473959005063,0.0,0.0,4,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
27,test,1,3.0753579234041832,3.0753579234041832,0.0,0.0,4,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
28,test,1,2.304142970004855,2.304142970004855,0.0,0.4513838349637125,3,0,1,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
30,test,1,3.0374739382934948,3.0374739382934948,0.0,0.0,4,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
33,test,0,1.5129830650939935,1.5129830650939935,0.0,0.0,2,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
37,test,1,3.0771873597855555,3.0771873597855555,0.0,0.0,4,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
38,test,1,2.9767368641822705,2.9767368641822705,0.0,0.0,4,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
42,test,1,1.636719744538203,1.636719744538203,0.0,0.0,2,0,0,SAT,0,0,0.0,Evidence supports the backstory claims; no hard contradictions detected.
